word	nodeType	synsetCount	unit
black	ADJ	22	ferris
silent	ADJ	6	ferris
ready	ADJ	8	ferris
aural	ADJ	2	ferris
old	ADJ	9	ferris
old	ADJ	9	ferris
old	ADJ	9	ferris
sadistic	ADJ	1	ferris
big	ADJ	17	ferris
silent	ADJ	6	ferris
tense	ADJ	8	ferris
open	ADJ	36	ferris
breathless	ADJ	3	ferris
worried	ADJ	8	ferris
wrong	ADJ	13	ferris
wrong	ADJ	13	ferris
close	ADJ	37	ferris
old	ADJ	9	ferris
open	ADJ	36	ferris
fat	ADJ	9	ferris
dry	ADJ	19	ferris
late	ADJ	11	ferris
early	ADJ	9	ferris
upper	ADJ	6	ferris
middle	ADJ	9	ferris
close	ADJ	37	ferris
lifeless	ADJ	4	ferris
cold	ADJ	16	ferris
clammy	ADJ	1	ferris
choked	ADJ	15	ferris
raspy	ADJ	1	ferris
fine	ADJ	10	ferris
good	ADJ	27	ferris
fruitful	ADJ	1	ferris
okay	ADJ	4	ferris
old	ADJ	9	ferris
cute	ADJ	2	ferris
major	ADJ	13	ferris
fine	ADJ	10	ferris
enough	ADJ	3	ferris
angry	ADJ	3	ferris
unfair	ADJ	1	ferris
upset	ADJ	17	ferris
thankful	ADJ	1	ferris
fit	ADJ	16	ferris
myocardial	ADJ	1	ferris
right	ADJ	36	ferris
syphilitic	ADJ	2	ferris
huge	ADJ	1	ferris
worried	ADJ	8	ferris
alright	ADJ	4	ferris
big	ADJ	17	ferris
okay	ADJ	4	ferris
nice	ADJ	6	ferris
such	ADJ	2	ferris
special	ADJ	10	ferris
pathetic	ADJ	3	ferris
well	ADJ	22	ferris
glassy	ADJ	3	ferris
sly	ADJ	1	ferris
little	ADJ	10	ferris
brilliant	ADJ	6	ferris
incredible	ADJ	1	ferris
bad	ADJ	17	ferris
beautiful	ADJ	2	ferris
clammy	ADJ	1	ferris
physical	ADJ	7	ferris
good	ADJ	27	ferris
non	ADJ	1	ferris
-	ADJ	0	ferris
specific	ADJ	6	ferris
pretty	ADJ	3	ferris
nervous	ADJ	5	ferris
bad	ADJ	17	ferris
new	ADJ	12	ferris
little	ADJ	10	ferris
stupid	ADJ	4	ferris
childish	ADJ	1	ferris
high	ADJ	18	ferris
right	ADJ	36	ferris
little	ADJ	10	ferris
ninth	ADJ	3	ferris
sick	ADJ	9	ferris
beautiful	ADJ	2	ferris
high	ADJ	18	ferris
pebbled	ADJ	0	ferris
european	ADJ	2	ferris
european	ADJ	2	ferris
european	ADJ	2	ferris
fascist	ADJ	2	ferris
different	ADJ	5	ferris
good	ADJ	27	ferris
first	ADJ	16	ferris
good	ADJ	27	ferris
political	ADJ	3	ferris
right	ADJ	36	ferris
drunk	ADJ	9	ferris
guilty	ADJ	2	ferris
careful	ADJ	5	ferris
old	ADJ	9	ferris
touchy	ADJ	2	ferris
old	ADJ	9	ferris
favorite	ADJ	5	ferris
old	ADJ	9	ferris
eighth	ADJ	3	ferris
serious	ADJ	6	ferris
bad	ADJ	17	ferris
only	ADJ	9	ferris
right	ADJ	36	ferris
dead	ADJ	21	ferris
complete	ADJ	10	ferris
sad	ADJ	3	ferris
old	ADJ	9	ferris
whole	ADJ	8	ferris
artificial	ADJ	3	ferris
dark	ADJ	16	ferris
wrong	ADJ	13	ferris
wrong	ADJ	13	ferris
specific	ADJ	6	ferris
aware	ADJ	2	ferris
conditioned	ADJ	7	ferris
kinda	ADJ	1	ferris
sure	ADJ	10	ferris
legit	ADJ	0	ferris
own	ADJ	2	ferris
different	ADJ	5	ferris
serious	ADJ	6	ferris
sick	ADJ	9	ferris
possible	ADJ	4	ferris
own	ADJ	2	ferris
great	ADJ	7	ferris
bored	ADJ	4	ferris
nervous	ADJ	5	ferris
whole	ADJ	8	ferris
easy	ADJ	15	ferris
loose	ADJ	18	ferris
young	ADJ	14	ferris
strong	ADJ	10	ferris
full	ADJ	13	ferris
rich	ADJ	13	ferris
sleek	ADJ	4	ferris
modern	ADJ	7	ferris
prime	ADJ	12	ferris
dark	ADJ	16	ferris
dreary	ADJ	2	ferris
sick	ADJ	9	ferris
high	ADJ	18	ferris
random	ADJ	1	ferris
weak	ADJ	12	ferris
little	ADJ	10	ferris
sick	ADJ	9	ferris
complete	ADJ	10	ferris
sorry	ADJ	4	ferris
good	ADJ	27	ferris
tight	ADJ	16	ferris
close	ADJ	37	ferris
little	ADJ	10	ferris
easy	ADJ	15	ferris
tight	ADJ	16	ferris
dirty	ADJ	13	ferris
yellow	ADJ	8	ferris
pristine	ADJ	2	ferris
