word	nodeType	unit
black	ADJ	ferris
silent	ADJ	ferris
ready	ADJ	ferris
aural	ADJ	ferris
old	ADJ	ferris
old	ADJ	ferris
old	ADJ	ferris
sadistic	ADJ	ferris
big	ADJ	ferris
silent	ADJ	ferris
tense	ADJ	ferris
open	ADJ	ferris
breathless	ADJ	ferris
worried	ADJ	ferris
wrong	ADJ	ferris
wrong	ADJ	ferris
close	ADJ	ferris
old	ADJ	ferris
open	ADJ	ferris
fat	ADJ	ferris
dry	ADJ	ferris
late	ADJ	ferris
early	ADJ	ferris
upper	ADJ	ferris
middle	ADJ	ferris
close	ADJ	ferris
lifeless	ADJ	ferris
cold	ADJ	ferris
clammy	ADJ	ferris
choked	ADJ	ferris
raspy	ADJ	ferris
fine	ADJ	ferris
good	ADJ	ferris
fruitful	ADJ	ferris
okay	ADJ	ferris
old	ADJ	ferris
cute	ADJ	ferris
major	ADJ	ferris
fine	ADJ	ferris
enough	ADJ	ferris
angry	ADJ	ferris
unfair	ADJ	ferris
upset	ADJ	ferris
thankful	ADJ	ferris
fit	ADJ	ferris
myocardial	ADJ	ferris
right	ADJ	ferris
syphilitic	ADJ	ferris
huge	ADJ	ferris
worried	ADJ	ferris
alright	ADJ	ferris
big	ADJ	ferris
okay	ADJ	ferris
nice	ADJ	ferris
such	ADJ	ferris
special	ADJ	ferris
pathetic	ADJ	ferris
well	ADJ	ferris
glassy	ADJ	ferris
sly	ADJ	ferris
little	ADJ	ferris
brilliant	ADJ	ferris
incredible	ADJ	ferris
bad	ADJ	ferris
beautiful	ADJ	ferris
clammy	ADJ	ferris
physical	ADJ	ferris
good	ADJ	ferris
non	ADJ	ferris
-	ADJ	ferris
specific	ADJ	ferris
pretty	ADJ	ferris
nervous	ADJ	ferris
bad	ADJ	ferris
new	ADJ	ferris
little	ADJ	ferris
stupid	ADJ	ferris
childish	ADJ	ferris
high	ADJ	ferris
right	ADJ	ferris
little	ADJ	ferris
ninth	ADJ	ferris
sick	ADJ	ferris
beautiful	ADJ	ferris
high	ADJ	ferris
pebbled	ADJ	ferris
european	ADJ	ferris
european	ADJ	ferris
european	ADJ	ferris
fascist	ADJ	ferris
different	ADJ	ferris
good	ADJ	ferris
first	ADJ	ferris
good	ADJ	ferris
political	ADJ	ferris
right	ADJ	ferris
drunk	ADJ	ferris
guilty	ADJ	ferris
careful	ADJ	ferris
old	ADJ	ferris
touchy	ADJ	ferris
old	ADJ	ferris
favorite	ADJ	ferris
old	ADJ	ferris
eighth	ADJ	ferris
serious	ADJ	ferris
bad	ADJ	ferris
only	ADJ	ferris
right	ADJ	ferris
dead	ADJ	ferris
complete	ADJ	ferris
sad	ADJ	ferris
old	ADJ	ferris
whole	ADJ	ferris
artificial	ADJ	ferris
dark	ADJ	ferris
wrong	ADJ	ferris
wrong	ADJ	ferris
specific	ADJ	ferris
aware	ADJ	ferris
conditioned	ADJ	ferris
kinda	ADJ	ferris
sure	ADJ	ferris
legit	ADJ	ferris
own	ADJ	ferris
different	ADJ	ferris
serious	ADJ	ferris
sick	ADJ	ferris
possible	ADJ	ferris
own	ADJ	ferris
great	ADJ	ferris
bored	ADJ	ferris
nervous	ADJ	ferris
whole	ADJ	ferris
easy	ADJ	ferris
loose	ADJ	ferris
young	ADJ	ferris
strong	ADJ	ferris
full	ADJ	ferris
rich	ADJ	ferris
sleek	ADJ	ferris
modern	ADJ	ferris
prime	ADJ	ferris
dark	ADJ	ferris
dreary	ADJ	ferris
sick	ADJ	ferris
high	ADJ	ferris
random	ADJ	ferris
weak	ADJ	ferris
little	ADJ	ferris
sick	ADJ	ferris
complete	ADJ	ferris
sorry	ADJ	ferris
good	ADJ	ferris
tight	ADJ	ferris
close	ADJ	ferris
little	ADJ	ferris
easy	ADJ	ferris
tight	ADJ	ferris
dirty	ADJ	ferris
yellow	ADJ	ferris
pristine	ADJ	ferris
last	ADJ	ferris
empty	ADJ	ferris
sick	ADJ	ferris
good	ADJ	ferris
last	ADJ	ferris
serious	ADJ	ferris
weary	ADJ	ferris
cheery	ADJ	ferris
big	ADJ	ferris
imaginary	ADJ	ferris
real	ADJ	ferris
nitrous	ADJ	ferris
rapid	ADJ	ferris
bumpy	ADJ	ferris
high	ADJ	ferris
petite	ADJ	ferris
pink	ADJ	ferris
pink	ADJ	ferris
blue	ADJ	ferris
crumpled	ADJ	ferris
damaging	ADJ	ferris
much	ADJ	ferris
gross	ADJ	ferris
wicked	ADJ	ferris
insensitive	ADJ	ferris
likely	ADJ	ferris
easy	ADJ	ferris
sticky	ADJ	ferris
stiff	ADJ	ferris
hard	ADJ	ferris
obvious	ADJ	ferris
mint	ADJ	ferris
single	ADJ	ferris
familiar	ADJ	ferris
blue	ADJ	ferris
dusty	ADJ	ferris
dirty	ADJ	ferris
matted	ADJ	ferris
crisp	ADJ	ferris
new	ADJ	ferris
modest	ADJ	ferris
small	ADJ	ferris
open	ADJ	ferris
light	ADJ	ferris
real	ADJ	ferris
suburban	ADJ	ferris
cute	ADJ	ferris
little	ADJ	ferris
real	ADJ	ferris
black	ADJ	ferris
realistic	ADJ	ferris
dead	ADJ	ferris
sorry	ADJ	ferris
high	ADJ	ferris
modern	ADJ	ferris
suburban	ADJ	ferris
high	ADJ	ferris
aware	ADJ	ferris
passing	ADJ	ferris
sick	ADJ	ferris
first	ADJ	ferris
aware	ADJ	ferris
exemplary	ADJ	ferris
dead	ADJ	ferris
tough	ADJ	ferris
clean	ADJ	ferris
short	ADJ	ferris
confident	ADJ	ferris
last	ADJ	ferris
mistaken	ADJ	ferris
absent	ADJ	ferris
bad	ADJ	ferris
ill	ADJ	ferris
prone	ADJ	ferris
sick	ADJ	ferris
throbbing	ADJ	ferris
passing	ADJ	ferris
sorry	ADJ	ferris
sorry	ADJ	ferris
sick	ADJ	ferris
sick	ADJ	ferris
whole	ADJ	ferris
sweet	ADJ	ferris
second	ADJ	ferris
second	ADJ	ferris
second	ADJ	ferris
third	ADJ	ferris
second	ADJ	ferris
third	ADJ	ferris
excited	ADJ	ferris
sure	ADJ	ferris
second	ADJ	ferris
serious	ADJ	ferris
upset	ADJ	ferris
hard	ADJ	ferris
bad	ADJ	ferris
long	ADJ	ferris
dangerous	ADJ	ferris
good	ADJ	ferris
bad	ADJ	ferris
last	ADJ	ferris
popular	ADJ	ferris
first	ADJ	ferris
impressed	ADJ	ferris
proud	ADJ	ferris
glorious	ADJ	ferris
late	ADJ	ferris
little	ADJ	ferris
new	ADJ	ferris
good	ADJ	ferris
serious	ADJ	ferris
bullshit	ADJ	ferris
sick	ADJ	ferris
good	ADJ	ferris
beautiful	ADJ	ferris
weary	ADJ	ferris
bad	ADJ	ferris
other	ADJ	ferris
second	ADJ	ferris
last	ADJ	ferris
nice	ADJ	ferris
miserable	ADJ	ferris
darn	ADJ	ferris
close	ADJ	ferris
rude	ADJ	ferris
worried	ADJ	ferris
second	ADJ	ferris
alright	ADJ	ferris
little	ADJ	ferris
great	ADJ	ferris
cool	ADJ	ferris
heavy	ADJ	ferris
least	ADJ	ferris
sick	ADJ	ferris
great	ADJ	ferris
sure	ADJ	ferris
busy	ADJ	ferris
dumb	ADJ	ferris
sick	ADJ	ferris
mammoth	ADJ	ferris
right	ADJ	ferris
hard	ADJ	ferris
right	ADJ	ferris
normal	ADJ	ferris
drunk	ADJ	ferris
catholic	ADJ	ferris
dumb	ADJ	ferris
abnormal	ADJ	ferris
sick	ADJ	ferris
headed	ADJ	ferris
disappointed	ADJ	ferris
heraldic	ADJ	ferris
good	ADJ	ferris
good	ADJ	ferris
only	ADJ	ferris
concerned	ADJ	ferris
critical	ADJ	ferris
strategic	ADJ	ferris
only	ADJ	ferris
strategic	ADJ	ferris
satisfied	ADJ	ferris
beautiful	ADJ	ferris
tweedy	ADJ	ferris
dry	ADJ	ferris
dusty	ADJ	ferris
obvious	ADJ	ferris
dead	ADJ	ferris
dead	ADJ	ferris
suspicious	ADJ	ferris
dead	ADJ	ferris
hard	ADJ	ferris
daytime	ADJ	ferris
startled	ADJ	ferris
annoyed	ADJ	ferris
bad	ADJ	ferris
obvious	ADJ	ferris
sure	ADJ	ferris
happy	ADJ	ferris
dead	ADJ	ferris
cold	ADJ	ferris
nervy	ADJ	ferris
litttle	ADJ	ferris
right	ADJ	ferris
other	ADJ	ferris
other	ADJ	ferris
other	ADJ	ferris
big	ADJ	ferris
old	ADJ	ferris
ugly	ADJ	ferris
angry	ADJ	ferris
second	ADJ	ferris
same	ADJ	ferris
sorry	ADJ	ferris
possible	ADJ	ferris
first	ADJ	ferris
deep	ADJ	ferris
phoney	ADJ	ferris
sorry	ADJ	ferris
embarrassed	ADJ	ferris
french	ADJ	ferris
sure	ADJ	ferris
clear	ADJ	ferris
goddamn	ADJ	ferris
well	ADJ	ferris
last	ADJ	ferris
scared	ADJ	ferris
shitless	ADJ	ferris
impossible	ADJ	ferris
great	ADJ	ferris
short	ADJ	ferris
sweet	ADJ	ferris
enthusiastic	ADJ	ferris
wrong	ADJ	ferris
suspicious	ADJ	ferris
deep	ADJ	ferris
few	ADJ	ferris
loud	ADJ	ferris
second	ADJ	ferris
stupid	ADJ	ferris
incredulous	ADJ	ferris
sick	ADJ	ferris
phoney	ADJ	ferris
nice	ADJ	ferris
sorry	ADJ	ferris
uncalled	ADJ	ferris
serious	ADJ	ferris
serious	ADJ	ferris
right	ADJ	ferris
small	ADJ	ferris
heraldic	ADJ	ferris
black	ADJ	ferris
erotic	ADJ	ferris
red	ADJ	ferris
ashen	ADJ	ferris
grim	ADJ	ferris
monotone	ADJ	ferris
Less	ADJ	ferris
more	ADJ	ferris
fine	ADJ	ferris
sorry	ADJ	ferris
real	ADJ	ferris
simple	ADJ	ferris
suspicious	ADJ	ferris
big	ADJ	ferris
proud	ADJ	ferris
distinctive	ADJ	ferris
sorry	ADJ	ferris
crazy	ADJ	ferris
perfect	ADJ	ferris
top	ADJ	ferris
obvious	ADJ	ferris
likely	ADJ	ferris
suspicious	ADJ	ferris
low	ADJ	ferris
close	ADJ	ferris
terrific	ADJ	ferris
old	ADJ	ferris
dear	ADJ	ferris
careful	ADJ	ferris
suspicious	ADJ	ferris
hasty	ADJ	ferris
great	ADJ	ferris
comfortable	ADJ	ferris
fabulous	ADJ	ferris
quick	ADJ	ferris
risky	ADJ	ferris
bold	ADJ	ferris
necessary	ADJ	ferris
good	ADJ	ferris
suburban	ADJ	ferris
fresh	ADJ	ferris
modern	ADJ	ferris
cocky	ADJ	ferris
confident	ADJ	ferris
open	ADJ	ferris
silver	ADJ	ferris
blue	ADJ	ferris
high	ADJ	ferris
high	ADJ	ferris
small	ADJ	ferris
solid	ADJ	ferris
blue	ADJ	ferris
little	ADJ	ferris
pooped	ADJ	ferris
other	ADJ	ferris
chipper	ADJ	ferris
polite	ADJ	ferris
slavic	ADJ	ferris
hearty	ADJ	ferris
latter	ADJ	ferris
excited	ADJ	ferris
thrilled	ADJ	ferris
aged	ADJ	ferris
bored	ADJ	ferris
sour	ADJ	ferris
puss	ADJ	ferris
teenage	ADJ	ferris
light	ADJ	ferris
local	ADJ	ferris
open	ADJ	ferris
adjacent	ADJ	ferris
ax	ADJ	ferris
mature	ADJ	ferris
additional	ADJ	ferris
aware	ADJ	ferris
proud	ADJ	ferris
baffled	ADJ	ferris
sick	ADJ	ferris
metallic	ADJ	ferris
mannequin	ADJ	ferris
mannequin	ADJ	ferris
stiff	ADJ	ferris
awful	ADJ	ferris
unable	ADJ	ferris
goddamn	ADJ	ferris
puzzled	ADJ	ferris
crazy	ADJ	ferris
good	ADJ	ferris
goddamn	ADJ	ferris
major	ADJ	ferris
new	ADJ	ferris
flabbergasted	ADJ	ferris
hey	ADJ	ferris
heartless	ADJ	ferris
large	ADJ	ferris
hourly	ADJ	ferris
extra	ADJ	ferris
special	ADJ	ferris
beautiful	ADJ	ferris
beautiful	ADJ	ferris
sure	ADJ	ferris
graphic	ADJ	ferris
right	ADJ	ferris
long	ADJ	ferris
skinny	ADJ	ferris
tall	ADJ	ferris
huge	ADJ	ferris
spirited	ADJ	ferris
dark	ADJ	ferris
soft	ADJ	ferris
taut	ADJ	ferris
open	ADJ	ferris
close	ADJ	ferris
like	ADJ	ferris
open	ADJ	ferris
original	ADJ	ferris
tall	ADJ	ferris
tall	ADJ	ferris
vantage	ADJ	ferris
personal	ADJ	ferris
good	ADJ	ferris
dizzying	ADJ	ferris
middle	ADJ	ferris
aged	ADJ	ferris
lean	ADJ	ferris
clean	ADJ	ferris
tough	ADJ	ferris
humorless	ADJ	ferris
puzzled	ADJ	ferris
underground	ADJ	ferris
giant	ADJ	ferris
round	ADJ	ferris
great	ADJ	ferris
big	ADJ	ferris
cutest	ADJ	ferris
annoyed	ADJ	ferris
giant	ADJ	ferris
old	ADJ	ferris
deep	ADJ	ferris
enriching	ADJ	ferris
true	ADJ	ferris
serious	ADJ	ferris
serious	ADJ	ferris
compatible	ADJ	ferris
young	ADJ	ferris
awkward	ADJ	ferris
only	ADJ	ferris
good	ADJ	ferris
married	ADJ	ferris
other	ADJ	ferris
right	ADJ	ferris
old	ADJ	ferris
natural	ADJ	ferris
other	ADJ	ferris
divorced	ADJ	ferris
right	ADJ	ferris
comfortable	ADJ	ferris
comfortable	ADJ	ferris
